SampleNumber,Site,CollectDate,SiO2,TP,Si_corrected
FMP02938,"Flathead Lake, Midlake Deep",1997-07-21,4.95,4.02,0
FMP02953,"Flathead Lake, Midlake Deep",1997-08-19,4.83,6.66,0
FMP02978A,"Flathead Lake, Midlake Deep",1997-09-25,4.93,4.98,0
FMP02978B,"Flathead Lake, Midlake Deep",1997-09-25,4.90,4.89,0
FMP03154,"Flathead Lake, Midlake Deep",1997-11-04,5.29,5.15,0
FMP03169,"Flathead Lake, Midlake Deep",1997-12-10,5.47,4.62,0
FMP03185,"Flathead Lake, Midlake Deep",1998-01-23,5.78,5.53,0
FMP03202,"Flathead Lake, Midlake Deep",1998-03-13,NA,4.50,0
FMP03226,"Flathead Lake, Midlake Deep",1998-04-09,NA,4.26,0
FMP03250,"Flathead Lake, Midlake Deep",1998-05-11,NA,5.68,0
FMP03275,"Flathead Lake, Midlake Deep",1998-05-28,NA,6.85,0
FMP03297,"Flathead Lake, Midlake Deep",1998-06-17,NA,6.77,0
FMP03315,"Flathead Lake, Midlake Deep",1998-07-24,NA,5.05,0
FMP03323A,"Flathead Lake, Midlake Deep",1998-08-24,NA,4.10,0
FMP03323B,"Flathead Lake, Midlake Deep",1998-08-24,NA,4.49,0
FMP03340,"Flathead Lake, Midlake Deep",1998-09-11,NA,4.32,0
FMP03356,"Flathead Lake, Midlake Deep",1998-09-29,NA,5.24,0
FMP03373,"Flathead Lake, Midlake Deep",1998-11-23,5.27,6.78,0
FMP03390,"Flathead Lake, Midlake Deep",1999-01-06,5.53,4.33,0
FMP03409A,"Flathead Lake, Midlake Deep",1999-02-24,5.33,98.78,0
FMP03409B,"Flathead Lake, Midlake Deep",1999-02-24,5.06,6.70,0
FMP03425,"Flathead Lake, Midlake Deep",1999-03-24,0.00,3.90,0
FMP03447,"Flathead Lake, Midlake Deep",1999-05-06,6.77,6.14,0
FMP03470,"Flathead Lake, Midlake Deep",1999-05-26,5.87,4.13,0
FMP03486,"Flathead Lake, Midlake Deep",1999-06-10,4.74,5.74,0
FMP03509,"Flathead Lake, Midlake Deep",1999-07-02,0.00,4.73,0
FMP03524,"Flathead Lake, Midlake Deep",1999-07-20,4.40,5.48,0
FMP03530,"Flathead Lake, Midlake Deep",1999-08-03,4.34,6.31,0
FMP03551,"Flathead Lake, Midlake Deep",1999-08-17,4.59,4.47,0
FMP03566,"Flathead Lake, Midlake Deep",1999-09-16,4.52,5.45,0
FMP03582A,"Flathead Lake, Midlake Deep",1999-10-21,4.66,0.70,0
FMP03582B,"Flathead Lake, Midlake Deep",1999-10-21,4.90,0.70,0
FMP03598,"Flathead Lake, Midlake Deep",1999-11-15,4.96,4.43,0
FMP03614,"Flathead Lake, Midlake Deep",1999-12-17,5.07,6.29,0
FMP03633,"Flathead Lake, Midlake Deep",2000-01-31,5.13,4.99,0
FMP03659,"Flathead Lake, Midlake Deep",2000-03-02,5.38,3.27,0
FMP03678,"Flathead Lake, Midlake Deep",2000-03-29,5.14,5.14,0
FMP03695,"Flathead Lake, Midlake Deep",2000-04-19,5.19,6.29,0
FMP03719,"Flathead Lake, Midlake Deep",2000-05-14,5.38,4.00,0
FMP03729,"Flathead Lake, Midlake Deep",2000-06-02,5.32,5.22,0
FMP03745,"Flathead Lake, Midlake Deep",2000-06-20,5.02,5.61,0
FMP03765A,"Flathead Lake, Midlake Deep",2000-07-12,5.23,2.63,0
FMP03765B,"Flathead Lake, Midlake Deep",2000-07-12,5.05,2.12,0
FMP03779,"Flathead Lake, Midlake Deep",2000-08-02,4.85,2.72,0
FMP03795,"Flathead Lake, Midlake Deep",2000-08-18,5.16,4.50,0
FMP03811,"Flathead Lake, Midlake Deep",2000-09-20,4.82,3.39,0
FMP03827,"Flathead Lake, Midlake Deep",2000-10-17,5.10,3.61,0
FMP03836,"Flathead Lake, Midlake Deep",2000-11-17,5.16,4.21,0
FMP03853,"Flathead Lake, Midlake Deep",2000-12-28,5.49,4.89,0
FMP03868,"Flathead Lake, Midlake Deep",2001-02-01,5.11,4.79,0
FMP03886,"Flathead Lake, Midlake Deep",2001-03-05,5.11,4.30,0
FMP03904,"Flathead Lake, Midlake Deep",2001-04-06,5.44,5.82,0
FMP03919A,"Flathead Lake, Midlake Deep",2001-04-26,5.50,5.24,0
FMP03919B,"Flathead Lake, Midlake Deep",2001-04-26,6.00,5.12,0
FMP03952,"Flathead Lake, Midlake Deep",2001-05-18,5.85,3.44,0
FMP03965,"Flathead Lake, Midlake Deep",2001-06-01,5.03,5.93,0
FMP03991,"Flathead Lake, Midlake Deep",2001-06-19,4.91,4.75,0
FMP03998,"Flathead Lake, Midlake Deep",2001-06-29,4.39,6.32,0
FMP04015A,"Flathead Lake, Midlake Deep",2001-07-30,4.29,5.02,0
FMP04015B,"Flathead Lake, Midlake Deep",2001-07-30,4.33,4.52,0
FMP04022,"Flathead Lake, Midlake Deep",2001-08-21,4.35,3.35,0
FMP04029,"Flathead Lake, Midlake Deep",2001-09-20,NA,6.82,0
FMP04038,"Flathead Lake, Midlake Deep",2001-10-27,NA,6.24,0
FMP04048,"Flathead Lake, Midlake Deep",2001-11-19,NA,3.13,0
FMP04056,"Flathead Lake, Midlake Deep",2001-12-18,NA,5.08,0
FMP04066,"Flathead Lake, Midlake Deep",2002-02-05,NA,4.86,0
FMP04077,"Flathead Lake, Midlake Deep",2002-03-26,NA,5.08,0
FMP04088,"Flathead Lake, Midlake Deep",2002-04-18,NA,22.42,0
FMP04097,"Flathead Lake, Midlake Deep",2002-05-01,NA,6.86,0
FMP04102,"Flathead Lake, Midlake Deep",2002-05-15,NA,10.01,0
FMP04109A,"Flathead Lake, Midlake Deep",2002-05-30,NA,7.51,0
FMP04109B,"Flathead Lake, Midlake Deep",2002-05-30,NA,7.47,0
FMP04117,"Flathead Lake, Midlake Deep",2002-06-07,NA,4.70,0
FMP04124,"Flathead Lake, Midlake Deep",2002-06-17,NA,7.81,0
FMP04133,"Flathead Lake, Midlake Deep",2002-06-26,NA,6.46,0
FMP04139,"Flathead Lake, Midlake Deep",2002-07-25,3.95,4.58,0
FMP04151,"Flathead Lake, Midlake Deep",2002-08-09,4.10,6.16,0
FMP04159,"Flathead Lake, Midlake Deep",2002-08-30,3.60,3.69,0
FMP04174,"Flathead Lake, Midlake Deep",2002-09-26,4.65,5.32,0
FMP04188,"Flathead Lake, Midlake Deep",2002-10-15,4.50,6.12,0
FMP04203,"Flathead Lake, Midlake Deep",2002-11-15,4.81,9.28,0
FMP04226,"Flathead Lake, Midlake Deep",2002-12-09,5.59,8.64,0
FMP04243A,"Flathead Lake, Midlake Deep",2003-01-07,5.11,4.77,0
FMP04243B,"Flathead Lake, Midlake Deep",2003-01-07,5.00,6.35,0
FMP04252,"Flathead Lake, Midlake Deep",2003-02-06,4.97,6.30,0
FMP04277A,"Flathead Lake, Midlake Deep",2003-03-14,5.26,6.77,0
FMP04277B,"Flathead Lake, Midlake Deep",2003-03-14,5.35,9.05,0
FMP04294,"Flathead Lake, Midlake Deep",2003-04-04,5.09,4.72,0
FMP04309,"Flathead Lake, Midlake Deep",2003-04-22,4.80,2.32,0
FMP04325,"Flathead Lake, Midlake Deep",2003-05-13,4.92,4.59,0
FMP04350,"Flathead Lake, Midlake Deep",2003-06-03,4.77,3.77,0
FMP04378,"Flathead Lake, Midlake Deep",2003-06-25,4.40,6.37,0
FMP04385,"Flathead Lake, Midlake Deep",2003-07-15,4.45,4.48,0
FMP04405A,"Flathead Lake, Midlake Deep",2003-08-08,4.50,4.05,0
FMP04405B,"Flathead Lake, Midlake Deep",2003-08-08,4.75,2.89,0
FMP04421,"Flathead Lake, Midlake Deep",2003-08-19,4.45,4.01,0
FMP04428,"Flathead Lake, Midlake Deep",2003-09-01,4.35,5.84,0
FMP04443,"Flathead Lake, Midlake Deep",2003-10-06,4.47,6.60,0
FMP04458,"Flathead Lake, Midlake Deep",2003-10-27,4.82,4.38,0
FMP04476,"Flathead Lake, Midlake Deep",2003-12-01,4.77,4.21,0
FMP04501,"Flathead Lake, Midlake Deep",2004-01-09,4.90,4.41,0
FMP04517,"Flathead Lake, Midlake Deep",2004-02-03,4.97,6.33,0
FMP04530,"Flathead Lake, Midlake Deep",2004-03-10,5.20,5.31,0
FMP04554,"Flathead Lake, Midlake Deep",2004-04-06,4.87,5.48,0
FMP04570A,"Flathead Lake, Midlake Deep",2004-04-29,5.14,5.64,0
FMP04570B,"Flathead Lake, Midlake Deep",2004-04-29,5.33,6.19,0
FMP04586,"Flathead Lake, Midlake Deep",2004-05-17,4.71,4.66,0
FMP04610,"Flathead Lake, Midlake Deep",2004-06-15,4.81,5.12,0
FMP04624,"Flathead Lake, Midlake Deep",2004-06-28,4.60,5.48,0
FMP04634A,"Flathead Lake, Midlake Deep",2004-07-14,4.33,4.82,0
FMP04634B,"Flathead Lake, Midlake Deep",2004-07-14,4.38,4.30,0
FMP04649,"Flathead Lake, Midlake Deep",2004-07-29,4.30,3.73,0
FMP04659,"Flathead Lake, Midlake Deep",2004-08-13,4.20,4.67,0
FMP04676,"Flathead Lake, Midlake Deep",2004-08-30,4.60,6.03,0
FMP04693,"Flathead Lake, Midlake Deep",2004-09-23,4.61,7.41,0
FMP04701,"Flathead Lake, Midlake Deep",2004-10-13,4.64,7.90,0
FMP04716,"Flathead Lake, Midlake Deep",2004-11-15,5.42,5.47,0
FMP04732A,"Flathead Lake, Midlake Deep",2004-12-21,5.02,4.47,0
FMP04732B,"Flathead Lake, Midlake Deep",2004-12-21,4.84,4.47,0
FMP04756,"Flathead Lake, Midlake Deep",2005-01-31,5.13,4.42,0
FMP04762,"Flathead Lake, Midlake Deep",2005-02-24,5.05,6.02,0
FMP04786,"Flathead Lake, Midlake Deep",2005-04-06,5.14,2.70,0
FMP04794,"Flathead Lake, Midlake Deep",2005-04-21,5.05,3.53,0
FMP04832,"Flathead Lake, Midlake Deep",2005-05-18,4.76,8.33,0
FMP04840,"Flathead Lake, Midlake Deep",2005-05-30,4.65,5.89,0
FMP04863,"Flathead Lake, Midlake Deep",2005-06-14,4.84,8.36,0
FMP04873A,"Flathead Lake, Midlake Deep",2005-07-07,4.47,3.94,0
FMP04873B,"Flathead Lake, Midlake Deep",2005-07-07,4.53,2.92,0
FMP04889,"Flathead Lake, Midlake Deep",2005-07-26,4.54,6.40,0
FMP04910,"Flathead Lake, Midlake Deep",2005-08-25,4.47,4.07,0
FMP04928,"Flathead Lake, Midlake Deep",2005-09-22,4.60,3.79,0
FMP04946A,"Flathead Lake, Midlake Deep",2005-10-28,4.62,5.84,0
FMP04946B,"Flathead Lake, Midlake Deep",2005-10-28,4.67,7.99,0
FMP04966,"Flathead Lake, Midlake Deep",2005-12-12,5.09,4.68,0
FMP04993,"Flathead Lake, Midlake Deep",2006-01-19,5.19,5.58,0
FMP05000,"Flathead Lake, Midlake Deep",2006-02-14,5.40,3.90,0
FMP05023,"Flathead Lake, Midlake Deep",2006-03-21,5.04,4.32,0
FMP05041,"Flathead Lake, Midlake Deep",2006-04-11,5.00,5.73,0
FMP05048,"Flathead Lake, Midlake Deep",2006-04-25,4.93,5.96,0
FMP05063,"Flathead Lake, Midlake Deep",2006-05-10,4.90,7.49,0
FMP05077,Roys Creek @ Springhead,2006-05-16,16.33,14.47,0
FMP05096A,"Flathead Lake, Midlake Deep",2006-05-30,4.83,5.44,0
FMP05096B,"Flathead Lake, Midlake Deep",2006-05-30,4.81,6.19,0
FMP05117,"Flathead Lake, Midlake Deep",2006-06-22,4.52,5.67,0
FMP05133,"Flathead Lake, Midlake Deep",2006-07-17,4.77,4.22,0
FMP05141,"Flathead Lake, Midlake Deep",2006-08-08,4.38,4.19,0
FMP05165,"Flathead Lake, Midlake Deep",2006-09-05,4.48,4.08,0
FMP05182,"Flathead Lake, Midlake Deep",2006-10-03,4.54,4.19,0
FMP05197,"Flathead Lake, Midlake Deep",2006-11-01,4.68,6.02,0
FMP05212A,"Flathead Lake, Midlake Deep",2006-12-11,5.36,5.16,0
FMP05212B,"Flathead Lake, Midlake Deep",2006-12-11,5.02,4.88,0
FMP05233,"Flathead Lake, Midlake Deep",2007-01-25,5.09,4.74,0
FMP05242,"Flathead Lake, Midlake Deep",2007-02-28,5.09,4.53,0
FMP05263,"Flathead Lake, Midlake Deep",2007-03-23,5.30,5.82,0
FMP05278A,"Flathead Lake, Midlake Deep",2007-04-05,5.34,6.29,0
FMP05278B,"Flathead Lake, Midlake Deep",2007-04-05,5.07,6.63,0
FMP05286,"Flathead Lake, Midlake Deep",2007-04-16,5.63,5.44,0
FMP05300,Roys Creek @ Springhead,2007-04-21,15.65,15.07,0
FMP05302,"Flathead Lake, Midlake Deep",2007-04-28,5.46,5.03,0
